AT,RH,WS,WD,RF,PM10,NO,NOx,SO2,NO2,PM 2.5
12.31,54.58,0.84,137.45,0,538.78,148.64,159.32,12.21,71.7,361.54
13.85,56.63,0.83,187.16,0,586.3,100.99,125.81,14.09,81.74,405.96
13.72,52.68,1.18,110.91,0,503.33,58.26,82,10.39,64.86,360.71
11.89,61.26,1.1,136.27,0,405.17,30.5,51.26,8.06,49.63,271.92
15.31,32.36,1.25,293.24,0,506.6,29.4,60.19,18.06,68.1,325.86
14.25,44.96,1.34,174.35,0.01,250.3,6.61,28.68,21.7,44,191.99
13.24,60.14,1.25,145.81,0,253.61,14.77,36.47,12.12,45.95,184.67
13.92,37.29,1.38,110.21,0,230.76,10.72,34.72,12.01,49.04,165.66
14.22,27.31,1.54,111.82,0,227.12,6.85,32.69,12.64,50.96,152.71
13.61,29.24,1.1,102.89,0,240.42,36.55,59.78,12.62,56.38,171.46
12.38,59.11,0.69,135.62,0,360.75,78.72,100.17,14.55,68.96,280.35
13.72,54.55,0.7,156.57,0,340.62,76.26,110.12,10.81,90.16,297.38
15.75,43.06,1.26,176.51,0,326.79,30.27,54.16,13.43,55.45,292.79
13.6,9.27,1.98,116.57,0,133.01,2.17,22.05,9.78,38.18,90.4
11.87,7.04,1.45,111.1,0,186.19,39.59,60.68,13.48,53.39,156.19
11.97,49.27,0.7,178.18,0,360.45,118.31,140.79,19.9,83.33,352.91
12.98,40.98,1.06,131.53,0,293.77,39.58,62.78,11.7,57.35,340.89
12.93,48.53,1.07,115.99,0,226.22,56.18,83.23,12.21,70.37,262.98
14.58,48.4,0.9,187.91,0,,125.24,143.36,13.32,77.56,281.47
17.43,47.16,0.73,186.39,0,490.08,169.64,197.82,17.66,111.92,405.21
17.15,30.33,1.88,252.31,0.02,344.78,59.48,80.81,19.59,60.75,224.84
14.88,69.75,1.93,244.95,0.32,,2.67,21.54,8.86,36.5,58.86
13.47,67.19,1.14,114.73,0,,29.33,46.24,10.79,42.95,122.83
14.97,37.49,1.52,140.22,0,,9.81,25.43,9.45,33.26,109.86
13.86,39.98,1.68,131.47,0.02,48,2.45,18.88,11.03,32.04,71.59
12.72,25.79,1.77,117.3,0,,2.17,18.16,14.16,30.81,94
11.7,8.96,1.66,97.53,0,,4.29,25.09,14.21,40.6,143.5
12.44,0.53,1.77,101.9,0,,4.98,25.01,12.73,39.38,122.25
12.8,0.65,1.49,101.76,0,219.58,19.37,41.56,16.49,48.45,152.71
13.36,8.51,1.15,107.67,0,324.12,48.89,71.94,21.77,60.3,242.23
